Sc1,Sc2,Sc3,Sc4,Sc5,Sc6,Sa1,Sa2,Sa3,Sa4,Sa5,Sa6,Metal
0,7.565,381.373,233.293,0,0,0,0,0,0,40.456,12.354,Pt
0,3.187,410.884,251.055,0,0,0,0,0.412,43.204,58.533,0,Pt
0,4.891,302.222,109.603,0,0,0,0,0,0,58.629,0,Pt
0,18.908,192.331,71.902,0,0,0,0,13.471,127.759,59.349,0,Pt
2.095,5.902,328.223,188.512,0,0,0,0,0.853,9.428,65.895,0.054,Pt
2.095,5.902,328.223,188.512,0,0,0,0,0,0,40.456,12.354,Pt
0,3.187,410.884,251.055,0,0,0,0,0,0,40.456,12.354,Pt
0,18.424,251.712,132.553,0,0,0,0,0,0,58.629,0,Pt
0,18.775,267.087,156.242,0,0,0,0,0,0,58.629,0,Pt
0,18.26,284.433,179.991,0,0,0,0,0,0,58.629,0,Pt
0,20.177,276.233,152.354,5.703,1.837,0,0,0,0,58.629,0,Pt
0,18.334,279.233,164.595,0,0,0,0,0,0,58.629,0,Pt
0,18.908,192.331,71.902,0,0,0,0,0,82.66,31.009,0,Pt
0,18.849,243.249,135.83,0,0,0,0,13.471,127.759,59.349,0,Pt
0,3.793,347.345,190.789,0,0,0,0,0,0,40.456,12.354,Pt
0,7.565,381.373,233.293,0,0,0,0,0,0,58.629,0,Pt
0,21.561,150.587,51.833,0,0,0,0,13.471,127.759,59.349,0,Pt
0,18.823,225.713,118.92,0,0,0,0,13.471,127.759,59.349,0,Pt
0,3.738,357.444,213.09,0,0,0,0,0,0,40.456,12.354,Pt
0,2.163,265.397,76.063,0,0,0,0.928,115.192,228.3,28.965,15.844,Li
0,2.097,275.59,85.629,0,0,0,0,110.298,199.802,11.41,26.982,Li
0,2.163,265.397,76.063,0,0,0,0,144.091,195.706,52.924,4.04,Li
0,3.187,410.884,251.055,0,0,0,0,144.091,195.706,52.924,4.04,Li
0,19.11,155.845,28.282,0,0,0,0,0,82.66,31.009,0,Li
0,19.11,155.845,28.282,0,0,0,0,13.471,127.759,59.349,0,Li
0,2.163,265.397,76.063,0,0,0,0,123.89,209.731,27.269,18.597,Li
0,18.908,192.331,71.902,0,0,0,0,33.664,141.185,38.207,1.736,Li
0,30.103,121.514,14.01,7.932,0,0,0,13.471,127.759,59.349,0,Li
0,19.11,155.845,28.282,0,0,0,0,108.233,215.792,29.265,0,Li
0,17.297,133.919,10.483,0,0,0,0,13.471,127.759,59.349,0,Li
0,4.39,224.962,66.828,0,0,0,0,80.371,115.664,48.884,6.483,Nd
0,7.565,381.373,233.293,0,0,0,0,37.178,71.318,35.252,8.593,Nd
0,7.565,381.373,233.293,0,0,0,0,13.471,127.759,59.349,0,Nd
0,2.097,275.59,85.629,0,0,0,0,0.853,9.428,65.895,0.054,Nd
0,3.738,357.444,213.09,0,0,0,0,201.433,193.594,59.064,9.468,Nd
0,18.999,175.392,48.728,0,0,0,0,144.091,195.706,52.924,4.04,Nd
0,5.738,195.88,41.435,0,0,0,0,144.091,195.706,52.924,4.04,Nd
0,22.764,116.733,8.12,7.572,0,0,0,13.471,127.759,59.349,0,Nd
0,22.764,116.733,8.12,7.572,0,0,0,14.504,132.554,22.869,10.875,Nd
0.011,29.576,146.475,25.939,14.49,0,0,0,13.471,127.759,59.349,0,Nd
0,27.805,181.187,31.229,16.172,0,0,0,13.471,127.759,59.349,0,Nd
0,27.705,203.999,48.039,16.707,0,0,0,13.471,127.759,59.349,0,Nd
0,7.565,381.373,233.293,0,0,0,0,0.853,9.428,65.895,0.054,Nd
3.823,36.002,88.222,22.475,6.015,0,0,0,13.471,127.759,59.349,0,Nd
0,24.213,114.18,8.551,8.155,0,0,0,66.009,79.494,40.56,12.182,Nap
0,24.213,114.18,8.551,8.155,0,0,13.01,43.992,48.707,59.168,12.446,Nap
0,24.213,114.18,8.551,8.155,0,0,0,79.887,102.682,35.331,12.917,Nap
0,24.213,114.18,8.551,8.155,0,0,0.021,21.784,26.424,41.045,14.536,Nap
0,24.213,114.18,8.551,8.155,0,0,0,0,18.391,41.062,10.421,Nap
0,24.213,114.18,8.551,8.155,0,0,0,47.798,68.683,35.312,13.922,Nap
0,24.213,114.18,8.551,8.155,0,0,0,12.267,28.836,52.219,4.942,Nap
0,24.213,114.18,8.551,8.155,0,0,0,72.571,116.587,30.565,16.11,Nap
0,24.213,114.18,8.551,8.155,0,0,0,52.025,110.442,29.904,16.929,Nap
0,24.213,114.18,8.551,8.155,0,0,0,68.063,134.364,29.816,16.986,Nap
0,24.213,114.18,8.551,8.155,0,0.013,9.857,44.252,52.879,80.32,0.701,Nap
0,24.213,114.18,8.551,8.155,0,0,0,21.866,29.37,67.539,0,Nap
0,24.213,114.18,8.551,8.155,0,0.203,8.15,27.998,37.078,72.139,3.406,Nap
0,24.213,114.18,8.551,8.155,0,0,0,142.523,208.107,30.669,16.346,Nap
0,24.213,114.18,8.551,8.155,0,0,7.395,25.353,33.547,52.55,11.558,Nap
0,24.213,114.18,8.551,8.155,0,0,0,35.554,65.969,38.677,13.609,Nap
0,24.213,114.18,8.551,8.155,0,0,0,30.172,60.864,39.323,12.466,Nap
0,24.213,114.18,8.551,8.155,0,0,7.817,52.357,52.305,52.005,14.361,Nap
0,24.213,114.18,8.551,8.155,0,0,0,25.845,41.091,40.924,13.098,Nap
0,24.213,114.18,8.551,8.155,0,0,0.361,57.543,68.423,44.841,15.454,Nap
0,24.213,114.18,8.551,8.155,0,0,0,9.904,32.543,31.961,16.387,Nap
0,24.213,114.18,8.551,8.155,0,0,0,44.486,65.473,71.823,0.045,Nap
0,24.213,114.18,8.551,8.155,0,0,0,37.269,55.538,69.527,0.014,Nap
0,24.213,114.18,8.551,8.155,0,0,8.485,65.653,105.296,40.927,10.362,Nap
0,14.896,253.492,82.248,7.571,0,0,0,44.486,65.473,71.823,0.045,Nap
0,5.228,293.327,82.133,18.404,0,0,0,44.486,65.473,71.823,0.045,Nap
0,16.619,255.279,89.127,8.477,0,0,0,44.486,65.473,71.823,0.045,Nap
0,4.404,299.606,86.423,18.625,0,0,0,44.486,65.473,71.823,0.045,Nap
0,17.496,145.705,2.404,0,0,0,0,51.939,110.239,30.098,16.708,Nap
0,17.496,145.705,2.404,0,0,0,0,68.519,134.002,30.032,16.581,Nap
0,17.496,145.705,2.404,0,0,0,0,80.679,156.793,28.109,17.009,Nap
0,17.496,145.705,2.404,0,0,0,0,100.005,175.142,29.798,16.981,Nap
