Sc1,Sc2,Sc3,Sc4,Sc5,Sc6,Sa1,Sa2,Sa3,Sa4,Sa5,Sa6,LogEC50
0,17.292,133.8,10.398,0,0,0,0,23.452,18.125,66.245,0,4.83
0,22.764,116.733,8.12,7.572,0,0,0,9.904,32.543,31.961,16.387,4.05
0,12.701,178.816,24.544,0,0,0,0,0,0,40.456,12.354,2.95
0,12.701,178.816,24.544,0,0,0,0,0,13.248,76.974,0,2.28
0,2.163,265.397,76.063,0,0,0,0,0,0,40.456,12.354,3.16
0,17.292,133.8,10.398,0,0,0,0,0,82.66,31.009,0,4.22
0,19.464,155.182,28.325,0,0,0,0,0,82.66,31.009,0,3.29
0,19.02,175.293,48.845,0,0,0,0,0,82.66,31.009,0,2.36
0,18.894,192.331,71.914,0,0,0,0,0,82.66,31.009,0,1.25
0,19.464,155.182,28.325,0,0,0,0,0,13.248,76.974,0,3.46
0,18.894,192.331,71.914,0,0,0,0,0,13.248,76.974,0,0.91
0,17.292,133.8,10.398,0,0,0,0,13.471,127.759,59.349,0,3.62
0,19.464,155.182,28.325,0,0,0,0,13.471,127.759,59.349,0,2.51
0,19.02,175.293,48.845,0,0,0,0,13.471,127.759,59.349,0,1.82
0,18.894,192.331,71.914,0,0,0,0,13.471,127.759,59.349,0,0.99
0,6.528,179.99,29.438,0,0,0,0,13.471,127.759,59.349,0,2.87
0,17.292,133.8,10.398,0,0,0,0,1.099,65.838,59.33,0,3.74
0,17.292,133.8,10.398,0,0,0,0,30.355,35.847,69.315,0,4.10
0,17.292,133.8,10.398,0,0,0,0,9.904,32.543,31.961,16.387,3.89
0,19.464,155.182,28.325,0,0,0,0,25.184,21.315,71.307,0,3.57
0,19.464,155.182,28.325,0,0,0,0,92.453,45.183,83.342,0,3.48
1.312,30.86,85.789,6.664,0,0,0,0,0,0,40.456,12.354,3.94
0,17.292,133.8,10.398,0,0,0,0,0,0,40.456,12.354,4.80
0,19.695,143.794,19.497,0,0,0,0,0,0,40.456,12.354,3.78
0,20.237,133.249,24.931,0,0,0,0,0,0,40.456,12.354,4.36
0,27.927,121.787,14.08,8.002,0,0,0,0,0,40.456,12.354,5.34
0.437,20.458,112.384,8.791,0,0,0,0,0,0,40.456,12.354,4.31
1.298,30.532,99.38,11.831,0,0,0,0,0,0,40.456,12.354,4.16
0,19.464,155.182,28.325,0,0,0,0,0,0,40.456,12.354,3.46
0,19.02,175.293,48.845,0,0,0,0,0,0,40.456,12.354,2.37
0,18.894,192.331,71.914,0,0,0,0,0,0,40.456,12.354,0.69
0,14.98,153.913,7.873,0,0,0,0,30.355,35.847,69.315,0,3.83
0,14.923,177.566,24.247,0,0,0,0,0,13.248,76.974,0,2.44
8.979,29.049,52.942,4.489,0,0,0,0,0.853,9.428,65.895,0.054,4.32
0,19.845,118.059,6.455,0,0,0,0,13.471,127.759,59.349,0,3.61
1.298,30.532,99.38,11.831,0,0,0,0,13.471,127.759,59.349,0,3.54
0,19.695,143.794,19.497,0,0,0,0,13.471,127.759,59.349,0,3.00
0,20.237,133.249,24.931,0,0,0,0,13.471,127.759,59.349,0,2.94
0,6.509,157.333,12.905,0,0,0,0,13.471,127.759,59.349,0,3.09
0,6.513,169.614,20.713,0,0,0,0,13.471,127.759,59.349,0,2.67
0,15.771,152.92,8.675,0,0,0,0,13.471,127.759,59.349,0,2.73
0,12.701,178.816,24.544,0,0,0,0,13.471,127.759,59.349,0,2.04
0,18.968,156.831,22.079,0,0,0,0,13.471,127.759,59.349,0,2.44
0,20.237,133.249,24.931,0,0,0,0,0.412,43.204,58.533,0,4.31
0,17.292,133.8,10.398,0,0,0,0,0.412,43.204,58.533,0,4.49
0,19.464,155.182,28.325,0,0,0,0,0.412,43.204,58.533,0,3.44
0,21.339,151.082,51.543,0,0,0,0,0.412,43.204,58.533,0,2.84
0,17.292,133.8,10.398,0,0,0,0,0,23.248,63.361,0.03,4.57
0,19.464,155.182,28.325,0,0,0,0,0,23.248,63.361,0.03,3.41
0,17.292,133.8,10.398,0,0,0,0,1.884,75.946,54.113,0,4.24
0,19.464,155.182,28.325,0,0,0,0,1.884,75.946,54.113,0,3.35
0,12.701,178.816,24.544,0,0,0,0,1.884,75.946,54.113,0,2.68
0,33.379,216.91,82.028,15.889,0,0,0,0,0,58.629,0,3.34
0,33.086,236.292,99.373,16.622,0,0,0,0,0,58.629,0,2.28
0.172,39.644,243.098,126.022,17.322,0,0,0,0,0,58.629,0,1.44
0,35.103,268.83,143.348,19.518,0,0,0,0,0,58.629,0,1.29
0.132,39.798,266.934,161.761,22.118,0,0,0,0,0,58.629,0,0.94
0,34.07,297.387,185.57,20.248,0,0,0,0,0,58.629,0,0.89
0,35.798,299.109,190.959,18.228,0,0,0,0,0,58.629,0,0.96
0.02,32.825,330.643,231.239,14.539,0,0,0,0,0,58.629,0,1.80
0,34.607,212.963,86.958,20.844,0,0,0,0,0,58.629,0,3.49
0,38.654,226.018,99.76,22.375,0,0,0,0,0,58.629,0,2.33
0,38.127,239.556,109.274,26.1,0,0,0,0,0,58.629,0,3.38
0,34.335,276.875,150.723,17.941,0,0,0,0,0,58.629,0,1.29
0,39.615,268.921,164.14,24.935,0,0,0,0,0,58.629,0,0.95
0.001,35.022,299.945,188.362,18.488,0,0,0,0,0,58.629,0,0.92
0,35.707,307.888,213.55,18.149,0,0,0,0,0,58.629,0,0.91
0,36.425,323.943,228.549,20.533,0,0,0,0,0,58.629,0,1.80
0,38.496,210.748,86.194,25.102,0,0,0,0,0,58.629,0,3.46
0,34.614,239.292,102.854,21.65,0,0,0,0,0,58.629,0,2.32
0.233,39.504,248.232,123.065,25.154,0,0,0,0,0,58.629,0,1.51
0,37.139,272.646,152.157,21.342,0,0,0,0,0,58.629,0,1.62
0.034,39.661,280.544,171.692,21.841,0,0,0,0,0,58.629,0,1.05
0,35.83,301.8,198.671,20.134,0,0,0,0,0,58.629,0,0.90
